anime_id,name,genre,type,episodes,rating,members
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,"Action, Comedy, Mecha",Movie,1,8.22,72933
4053,Prince of Tennis: The National Tournament Finals,"Comedy, School, Shounen, Sports",OVA,7,8.15,21020
15451,High School DxD New,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.87,266657
1887,Lucky☆Star,"Comedy, Parody, School, Slice of Life",TV,24,7.87,305837
19115,Giovanni no Shima,"Drama, Historical",Movie,1,7.86,10115
14735,Detective Conan Movie 17: Private Eye in the Distant Sea,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,7.84,12963
30364,Haikyuu!! Movie 2: Shousha to Haisha,"Comedy, Drama, School, Shounen, Sports",Movie,1,7.81,10558
20785,Mahouka Koukou no Rettousei,"Magic, Romance, School, Sci-Fi, Supernatural",TV,26,7.76,285317
32542,Sakamoto desu ga?,"Comedy, School, Seinen",TV,12,7.67,171452
1488,Area 88,"Action, Adventure, Drama, Military, Romance",OVA,3,7.65,6645
5262,Shugo Chara!! Doki,"Comedy, Magic, School, Shoujo",TV,51,7.59,60384
5244,Aria The Natural: Sono Futatabi Deaeru Kiseki ni...,"Fantasy, Sci-Fi, Shounen, Slice of Life",Special,1,7.56,10069
5096,Doraemon Movie 28: Nobita to Midori no Kyojin Den,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.54,1651
167,Scrapped Princess,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen",TV,24,7.52,54575
5684,Fresh Precure!,"Action, Comedy, Fantasy, Magic, Shoujo, Slice of Life",TV,50,7.45,7004
4312,Hokuto no Ken: Toki-den,"Action, Martial Arts",OVA,1,7.45,3662
13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,"Comedy, Seinen, Slice of Life",TV,13,7.43,194791
8171,One Piece Recap,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",OVA,1,7.34,10147
10681,Blood-C: The Last Dark,"Action, Horror, Supernatural, Vampire",Movie,1,7.33,37925
2331,Uchuu Densetsu Ulysses 31,"Action, Adventure, Sci-Fi, Space",TV,26,7.2,2297
2355,Devilman: Yochou Sirene-hen,"Demons, Horror, Sci-Fi, Supernatural",OVA,1,7.14,5858
5834,Kyojin no Hoshi,"Drama, Sports",TV,182,7.12,729
6182,Maihime,"Drama, Historical, Romance",OVA,1,7.12,1120
1014,Chicchana Yukitsukai Sugar Specials,"Comedy, Magic, Shoujo, Slice of Life",Special,2,7.09,3902
5031,Cobra The Animation: Time Drive,"Action, Adventure, Sci-Fi, Space",OVA,2,7.09,2155
10934,Itsuka Tenma no Kuro Usagi OVA,"Comedy, Ecchi, Romance, Shounen, Supernatural, Vampire",OVA,1,7.09,13397
3318,Kimi ga Nozomu Eien: Next Season,"Drama, Romance",OVA,4,7.05,21064
5155,Genji Monogatari Sennenki,"Drama, Historical, Romance",TV,11,7.04,8554
971,Astro Boy: Tetsuwan Atom,"Action, Adventure, Kids, Mecha, Sci-Fi, Shounen, Super Power",TV,50,7.02,9331
1068,Chou Denji Robo Combattler V,"Adventure, Mecha, Sci-Fi, Shounen",TV,54,6.93,1369
2510,Sengoku Majin Goushougun,"Mecha, Parody, Sci-Fi",TV,26,6.93,849
16419,Dokidoki! Precure,"Action, Fantasy, Magic, Shoujo",TV,49,6.89,7571
10197,Nyanpire The Animation,"Comedy, Supernatural",TV,12,6.83,19161
10702,Tekken: Blood Vengeance,"Action, Fantasy, Martial Arts, Sci-Fi, Supernatural",Movie,1,6.81,12816
22123,Inugami-san to Nekoyama-san,"Comedy, School, Shoujo Ai",TV,12,6.72,35872
7744,Fight Ippatsu! Juuden-chan!! Specials,"Comedy, Ecchi",Special,6,6.66,4700
31573,Brave Beats,"Adventure, Music",TV,22,6.65,2299
9220,Seikimatsu Occult Gakuin Specials,"Comedy, School, Supernatural",Special,4,6.61,7550
16199,Girls und Panzer: Shoukai Shimasu!,"Military, School",Special,2,6.59,11042
8375,Chogattai Majutsu Robot Ginguiser,"Adventure, Mecha, Sci-Fi, Shounen",TV,26,6.58,409
2071,Hana yori Dango (Movie),"Drama, Romance, Shoujo",Movie,1,6.54,4576
3969,Kagaku Kyuujo-tai TechnoVoyager,"Action, Adventure, Mecha, Sci-Fi, Space",TV,18,6.54,377
7547,Komadori Eiga: Komaneko,"Kids, Slice of Life",Movie,1,6.52,238
12337,Soukou Kihei Votoms Recaps,"Action, Drama, Mecha, Military, Sci-Fi",OVA,4,6.52,358
10262,Gag Manga Biyori: Jump Festa 2002 Special,Comedy,Special,1,6.5,513
5088,Fabre-sensei wa Meitantei,Mystery,TV,26,6.49,298
17777,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.","Comedy, Ecchi, Romance, Shounen, Supernatural",TV,12,6.46,74320
4853,Tezuka Osamu no Don Dracula,"Comedy, Horror, Supernatural, Vampire",TV,8,6.44,934
18639,Rinne no Lagrange Season 2 Specials,Comedy,Special,6,6.41,1599
1630,Yousei Hime Ren,"Adventure, Comedy, Fantasy",OVA,2,6.35,2253
8141,Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody,"Adventure, Comedy, Drama",Movie,1,6.34,233
9944,Hime Gal♥Paradise,Shoujo,OVA,9,6.21,563
1975,Mutekiou Tri-Zenon,"Mecha, Sci-Fi",TV,22,6.21,483
17237,Peeping Life: World History,"Comedy, Historical, Slice of Life",ONA,40,6.21,361
4091,Kagami no Genon,Slice of Life,Movie,1,6.1,1803
3630,Miracle Shoujo Limit-chan,"Comedy, Magic, School, Sci-Fi, Shoujo, Super Power",TV,25,6.09,236
19133,Turning Girls,"Comedy, Slice of Life",ONA,7,6.06,4588
16317,Ishida to Asakura,"Comedy, School, Seinen",TV,12,6.02,9800
32735,Persona 3 the Movie Meets “Walkman”,Drama,ONA,1,5.91,937
16251,Shinkai no Kantai: Submarine 707,"Action, Adventure, Military, Sci-Fi",OVA,1,5.82,299
32699,Minions x Godzilla x Toho Cinema Collaboration Tokubetsu Eizou,Comedy,Special,1,5.75,123
12603,Tora-chan to Hanayome,Drama,Movie,1,5.72,386
21663,Last Orders,"Action, Samurai, Sci-Fi",Special,1,5.7,395
20869,Nulu-chan to Boku,"Comedy, Fantasy",ONA,1,5.7,141
8297,Planzet,"Action, Mecha, Sci-Fi",Movie,1,5.68,2923
1819,Daimajuu Gekitou: Hagane no Oni,"Horror, Mecha, Sci-Fi",OVA,1,5.45,1112
4761,Tokyo Loop,"Comedy, Dementia",Movie,1,5.19,787
33021,Ragnastrike Angels,Action,TV,12,4.42,7365
11357,Micro Teukgongdae Diatron 5,"Action, Mecha, Sci-Fi, Space",Movie,1,3.7,398
16610,No Littering,"Comedy, Horror",ONA,1,3.62,2018
25977,Contact 2,"Comedy, Kids, Sci-Fi",Special,1,5.58,101
30163,Fuki to Hiyoko,"Kids, Music",Music,1,5.07,89
16552,Heong-geuli Beseuteu 5,Sports,Movie,1,4.5,81
32943,Hikari: Kariya wo Tsunagu Monogatari,Sports,Special,1,5.52,171
21475,Ikkyuu-san: Haru Da! Yancha Hime,"Comedy, Historical, Kids",Movie,1,6.86,73
20499,Maji,"Drama, Shounen",OVA,3,6.17,109
9797,MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu Specials,"Action, Comedy",Special,2,6.08,227
8415,Oi! Ryouma,"Adventure, Drama, Historical",TV,39,6.48,176
28115,Onigara,"Demons, Kids",OVA,1,6.4,64
30403,Paper Film,Comedy,Movie,1,3.33,102
22631,Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland,"Comedy, Parody",OVA,10,4.88,135
11589,Puu-Neko Shougekijou,Comedy,TV,11,5.79,184
27493,Sore Ike! Anpanman: Yuuki to Honoo to Christmas,"Comedy, Fantasy, Kids",Special,1,5.38,63
15111,Spy Penguin,Kids,OVA,5,6.0,81
11097,Zou no Inai Doubutsuen,Drama,Movie,1,6.07,85
5784,Ai no Kusabi (2012),"Drama, Romance, Sci-Fi, Yaoi",OVA,4,6.97,17943
10420,Gakuen 3,Hentai,OVA,2,6.63,2188
10546,Rinkan Club,Hentai,OVA,4,6.63,3107
2148,Okane ga Nai,"Drama, Romance, Yaoi",OVA,4,6.58,27367
10770,Mahou Shoujo Elena,"Hentai, Magic, Supernatural",OVA,3,6.55,3302
18653,JK to Orc Heidan: Aku Buta Oni ni Ryougyaku Sareta Seijo Gakuen,Hentai,OVA,2,6.46,2918
3916,Magical Witch Academy: Boku to Sensei no Magical Lesson The Animation,Hentai,OVA,2,6.42,2930
3329,Izumo (2003),"Adventure, Comedy, Fantasy, Hentai",OVA,5,6.27,1539
651,Green Green Thirteen: Erolutions,"Comedy, Hentai, Romance",OVA,1,6.26,17805
5191,Trouble Evocation,"Drama, Hentai, Romance",OVA,2,5.99,679
4775,Lunatic Night,"Comedy, Hentai, Parody",OVA,3,5.92,688
5401,Mahou Shoujo Sae,Hentai,OVA,2,5.71,1025
5285,SeeIn AO,Hentai,OVA,2,5.52,487
3540,Henbou Moral Hazard,Hentai,OVA,1,4.88,552
